smiles,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15
[H]C#CC#CC([H])([H])[H],0.20403711,0.21270914,0.0,0.00024768,0.17590784,0.18403706,0.0,0.00032314,0.17590784,0.18403706,0.0,0.00032314,0.1743976,0.18146449,0.0,0.0002
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.35039928,0.35388728,0.0,0.0,0.34909308,0.35382217,0.0,0.0,0.34909308,0.35382217,0.0,0.0,0.33620488,0.33897945,0.0,0.0
[H]C#CC(C#CC([H])([H])[H])(O[H])C([H])([H])[H],0.25720095,0.26422755,0.00180844,0.02166171,0.22825102,0.23684537,0.00254984,0.01097419,0.22825102,0.23684537,0.00254984,0.01097419,0.22800016,0.23654438,0.0018,0.0029
[H]OC([H])([H])C1(C([H])([H])[H])N(C([H])([H])[H])C1([H])[H],0.25458899,0.2725547,0.00584425,0.02035976,0.26317542,0.28234365,0.00429098,0.02564804,0.26317542,0.28234365,0.00429098,0.02564804,0.25849843,0.27671507,0.0038,0.0158
[H]c1nc(C2([H])N([H])C2([H])[H])no1,0.22868472,0.2439033,0.00546939,0.02567779,0.20538603,0.21986391,0.01471758,0.00509462,0.20538603,0.21986391,0.01471758,0.00509462,0.22702263,0.23336189,0.0045,0.0256
[H]C([H])([H])OC12C([H])([H])C3([H])C1([H])C([H])([H])C32[H],0.27491528,0.2922619,0.00138855,0.02813568,0.29278473,0.31499854,0.00515493,0.02180313,0.29278473,0.31499854,0.00515493,0.02180313,0.28344387,0.30163846,0.0028,0.0152
[H]C#CC(=NC([H])([H])[H])OC([H])([H])C([H])([H])[H],0.20366399,0.23527211,0.00156504,0.17963436,0.18690143,0.21702898,0.00102923,0.13694189,0.18690143,0.21702898,0.00102923,0.13694189,0.19488535,0.21736491,0.0011,0.0001
[H]C#CC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[H],0.26486688,0.2693719,0.00014435,-1.6e-07,0.24766123,0.25915465,1.196e-05,0.00539242,0.24766123,0.25915465,1.196e-05,0.00539242,0.24095063,0.25096849,0.0,0.003
[H]C1([H])N=C(C#N)OC1([H])[H],0.21929816,0.22624132,0.0039421,0.11571935,0.20314502,0.21289099,0.00394249,0.1149193,0.20314502,0.21289099,0.00394249,0.1149193,0.20925433,0.21756703,0.0031,0.1396
[H]c1c([H])c(C([H])([H])C([H])([H])[H])n(C([H])([H])[H])c1[H],0.23031187,0.23345418,0.1069803,0.04791812,0.22506626,0.23784013,0.13571089,0.08904878,0.22506626,0.23784013,0.13571089,0.08904878,0.22180055,0.2315428,0.1749,0.0432
[H]C(=O)C1=NC([H])([H])C(=O)O1,0.13711265,0.17868455,7.019e-05,0.00319983,0.12705809,0.16094151,6.8e-06,0.00282009,0.12705809,0.16094151,6.8e-06,0.00282009,0.13110689,0.1743094,0.0001,0.0029
[H]c1oc(N([H])[H])c(OC([H])([H])[H])c1[H],0.20594352,0.21078187,0.08231602,0.08328272,0.20513163,0.21933625,0.16791543,0.00322949,0.20513163,0.21933625,0.16791543,0.00322949,0.19989061,0.2058587,0.0735,0.097
[H]OC([H])([H])c1noc(N([H])[H])c1[H],0.21931714,0.22837672,0.17833147,0.02074884,0.21939866,0.2371228,0.15859741,0.00343795,0.21939866,0.2371228,0.15859741,0.00343795,0.21615586,0.2246817,0.1454,0.0395
[H]c1nn([H])c(C#N)c1N([H])[H],0.18752137,0.21516765,0.14390807,0.0020246,0.18219841,0.19375809,0.16398071,0.00062699,0.18219841,0.19375809,0.16398071,0.00062699,0.18554734,0.2017391,0.1902,0.0006
